Filename                                                     Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
src/zserio/StringConvertUtil.h                                    32                 0   100.00%          10                 0   100.00%          90                 0   100.00%          16                 0   100.00%
src/zserio/TypeInfo.h                                            157                 3    98.09%         106                 0   100.00%         441                15    96.60%           2                 0   100.00%
src/zserio/TypeInfoUtil.cpp                                      409                 0   100.00%          12                 0   100.00%         481                 0   100.00%         794               260    67.25%
src/zserio/Types.cpp                                              33                 9    72.73%          20                 9    55.00%          78                27    65.38%          10                 0   100.00%
src/zserio/Types.h                                               101                 5    95.05%          56                 4    92.86%         246                12    95.12%          26                 1    96.15%
src/zserio/UniquePtr.h                                             8                 0   100.00%           5                 0   100.00%          26                 0   100.00%           0                 0         -
src/zserio/ValidationSqliteUtil.h                                 24                 2    91.67%           4                 0   100.00%          85                 8    90.59%          22                 2    90.91%
src/zserio/Variant.h                                             173                 7    95.95%          59                 0   100.00%         339                10    97.05%          74                16    78.38%
src/zserio/View.h                                                 28                 1    96.43%          15                 0   100.00%          58                 3    94.83%           8                 2    75.00%
src/zserio/Walker.h                                              161                 0   100.00%          79                 0   100.00%         354                 0   100.00%          56                 0   100.00%
src/zserio/ZserioTreeCreator.cpp                                   4                 0   100.00%           1                 0   100.00%          11                 0   100.00%           6                 0   100.00%
src/zserio/ZserioTreeCreator.h                                   240                 0   100.00%          45                 0   100.00%         424                 0   100.00%         168                 0   100.00%
src/zserio/ppmr/PropagatingPolymorphicAllocator.h                 17                 1    94.12%          10                 0   100.00%          32                 0   100.00%           2                 1    50.00%
test/zserio/AllocatorHolderTest.cpp                                3                 0   100.00%           1                 0   100.00%           5                 0   100.00%           0                 0         -
test/zserio/AnyTest.cpp                                           75                 0   100.00%          31                 0   100.00%         290                 0   100.00%           0                 0         -
test/zserio/ArrayLengthExceptionTest.cpp                           1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/ArrayViewTest.cpp                                    169                 0   100.00%          34                 0   100.00%         424                 0   100.00%           6                 0   100.00%
test/zserio/BitBufferTest.cpp                                    116                 0   100.00%          25                 0   100.00%         345                 0   100.00%          14                 0   100.00%
test/zserio/BitFieldUtilTest.cpp                                  32                 0   100.00%           2                 0   100.00%          36                 0   100.00%           0                 0         -
test/zserio/BitPositionUtilTest.cpp                                9                 0   100.00%           1                 0   100.00%          12                 0   100.00%           0                 0         -
test/zserio/BitStreamReaderTest.cpp                               56                 3    94.64%          13                 0   100.00%         105                 0   100.00%           6                 0   100.00%
test/zserio/BitStreamTest.cpp                                    138                 1    99.28%          43                 0   100.00%         619                 0   100.00%          28                 0   100.00%
test/zserio/BitStreamWriterTest.cpp                               94                 1    98.94%          25                 0   100.00%         241                 0   100.00%          22                 0   100.00%
test/zserio/BitmasksTest.cpp                                      16                 1    93.75%          10                 1    90.00%          43                 3    93.02%           0                 0         -
test/zserio/BuiltInOperatorsTest.cpp                              52                 0   100.00%          11                 0   100.00%          73                 0   100.00%           0                 0         -
test/zserio/BytesTest.cpp                                          2                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
test/zserio/ChoiceCaseExceptionTest.cpp                            1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/ConstraintExceptionTest.cpp                            1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/CppRuntimeExceptionTest.cpp                           19                 0   100.00%          10                 0   100.00%          72                 0   100.00%           2                 0   100.00%
test/zserio/CppRuntimeVersionTest.cpp                              1                 0   100.00%           1                 0   100.00%           2                 0   100.00%           0                 0         -
test/zserio/DataViewTest.cpp                                      27                 0   100.00%          12                 0   100.00%          65                 0   100.00%           2                 0   100.00%
test/zserio/DebugStringUtilTest.cpp                               86                 0   100.00%          68                 0   100.00%         472                 0   100.00%           0                 0         -
test/zserio/EnumsTest.cpp                                         46                 0   100.00%          14                 0   100.00%         102                 0   100.00%          20                 0   100.00%
test/zserio/ExtendedFieldExceptionTest.cpp                         1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/ExtendedTest.cpp                                      42                 0   100.00%          14                 0   100.00%          97                 0   100.00%           0                 0         -
test/zserio/FileUtilTest.cpp                                      17                 0   100.00%           3                 0   100.00%          36                 0   100.00%           6                 0   100.00%
test/zserio/FloatUtilTest.cpp                                     17                 0   100.00%          13                 0   100.00%         133                 0   100.00%           8                 0   100.00%
test/zserio/GenericAccessorTest.cpp                               18                 0   100.00%           8                 0   100.00%          36                 0   100.00%           0                 0         -
test/zserio/HashCodeUtilTest.cpp                                  14                 0   100.00%           2                 0   100.00%          37                 0   100.00%           0                 0         -
test/zserio/IntrospectableViewTest.cpp                           292                17    94.18%         135                 0   100.00%         933                10    98.93%          18                 6    66.67%
test/zserio/JsonDecoderTest.cpp                                   54                 5    90.74%          14                 0   100.00%         163                 0   100.00%           0                 0         -
test/zserio/JsonEncoderTest.cpp                                   50                 2    96.00%           5                 0   100.00%         144                 0   100.00%           0                 0         -
test/zserio/JsonParserTest.cpp                                    37                 0   100.00%          23                 0   100.00%         239                 0   100.00%           2                 0   100.00%
test/zserio/JsonReaderTest.cpp                                   168                 0   100.00%          35                 0   100.00%        1001                 0   100.00%           0                 0         -
test/zserio/JsonTokenizerTest.cpp                                439                86    80.41%           7                 0   100.00%         234                 0   100.00%          12                 0   100.00%
test/zserio/JsonWriterTest.cpp                                    76                 0   100.00%          39                 0   100.00%         437                 0   100.00%           0                 0         -
test/zserio/MissedOptionalExceptionTest.cpp                        1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/OptionalTest.cpp                                     149                 5    96.64%          26                 5    80.77%         286                11    96.15%           0                 0         -
test/zserio/OutOfRangeExceptionTest.cpp                            1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/PubsubExceptionTest.cpp                                1                 0   100.00%           1                 0   100.00%           5                 0   100.00%           0                 0         -
test/zserio/ReflectableDataTest.cpp                              479                17    96.45%         213                 0   100.00%        1449                10    99.31%          16                 6    62.50%
test/zserio/ReflectableUtilTest.cpp                              143                 0   100.00%          24                 0   100.00%         288                 0   100.00%           0                 0         -
test/zserio/SerializeUtilTest.cpp                                169                 1    99.41%          50                 0   100.00%         387                 3    99.22%           2                 1    50.00%
test/zserio/ServiceExceptionTest.cpp                               1                 0   100.00%           1                 0   100.00%           7                 0   100.00%           0                 0         -
test/zserio/SizeConvertUtilTest.cpp                                6                 0   100.00%           2                 0   100.00%          14                 0   100.00%           0                 0         -
test/zserio/SpanTest.cpp                                         104                 0   100.00%          24                 0   100.00%         245                 0   100.00%          12                 0   100.00%
test/zserio/SqliteConnectionTest.cpp                              88                 0   100.00%          19                 0   100.00%         239                 0   100.00%           2                 0   100.00%
test/zserio/StringConvertUtilTest.cpp                             37                 0   100.00%          11                 0   100.00%         103                 0   100.00%           0                 0         -
test/zserio/StringTest.cpp                                         3                 0   100.00%           1                 0   100.00%           7                 0   100.00%           0                 0         -
test/zserio/TrackingAllocator.h                                   23                 0   100.00%          18                 0   100.00%          52                 0   100.00%           0                 0         -
test/zserio/TraitsTest.cpp                                        16                 0   100.00%          10                 0   100.00%          57                 0   100.00%           0                 0         -
test/zserio/TypeInfoTest.cpp                                     256                 0   100.00%          13                 0   100.00%         379                 0   100.00%           2                 0   100.00%
test/zserio/TypeInfoUtilTest.cpp                                 432                 0   100.00%           6                 0   100.00%         444                 0   100.00%           0                 0         -
test/zserio/TypesTest.cpp                                        403                17    95.78%          34                 0   100.00%         843                 0   100.00%          42                17    59.52%
test/zserio/UnionCaseExceptionTest.cpp                             1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/UniquePtrTest.cpp                                      5                 0   100.00%           2                 0   100.00%          11                 0   100.00%           0                 0         -
test/zserio/ValidationExceptionTest.cpp                            1                 0   100.00%           1                 0   100.00%           8                 0   100.00%           0                 0         -
test/zserio/ValidationSqliteUtilTest.cpp                          85                 0   100.00%           8                 0   100.00%         158                 0   100.00%           2                 0   100.00%
test/zserio/VariantTest.cpp                                      117                 0   100.00%          27                 0   100.00%         291                 0   100.00%           0                 0         -
test/zserio/WalkerTest.cpp                                       266                 0   100.00%          51                 0   100.00%         636                 0   100.00%          10                 0   100.00%
test/zserio/ZserioTreeCreatorTest.cpp                            234                 0   100.00%          12                 0   100.00%         405                 0   100.00%           0                 0         -
test/zserio/ppmr/PropagatingPolymorphicAllocatorTest.cpp          38                 0   100.00%          14                 0   100.00%         116                 0   100.00%           0                 0         -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                           9426               256    97.28%        2679                48    98.21%       21612               279    98.71%        2650               382    85.58%
